signal_family,horizon_candles,horizon_hours,outer_fold,selected_signal_spec_id,interpretation,period,lower_threshold,upper_threshold,standard_deviations,mean_inner_incremental_log_loss,inner_standard_error,positive_inner_folds,calibration_not_dominated
rsi,1,4,1,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-0.006164358883886741,0.005534929387376811,0,True
bollinger,1,4,1,bollinger-p10-k2-continuation,continuation,10,,,2.0,-0.0023117141377562898,0.0009307907483299813,0,True
rsi,1,4,2,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-0.0034528799031216715,0.003121102333853329,1,True
bollinger,1,4,2,bollinger-p10-k1.5-continuation,continuation,10,,,1.5,-0.0007761928639984742,0.0008707649811627127,1,True
rsi,1,4,3,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,0.0004566605627908116,0.000218688909718138,3,True
bollinger,1,4,3,bollinger-p40-k1.5-continuation,continuation,40,,,1.5,0.0001359830961178791,0.00013463469875664888,2,True
rsi,1,4,4,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-0.00020325263296035642,0.00021958040944983228,2,True
bollinger,1,4,4,bollinger-p10-k1.5-continuation,continuation,10,,,1.5,0.00012007956623283356,3.565452043422566e-05,3,True
rsi,1,4,5,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,9.602968432316968e-05,0.00020810201823799553,1,True
bollinger,1,4,5,bollinger-p40-k1.5-continuation,continuation,40,,,1.5,9.662657835725803e-05,6.577093129174186e-05,2,True
rsi,2,8,1,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-0.0023129539073706296,0.00270876966125489,1,True
bollinger,2,8,1,bollinger-p10-k1.5-continuation,continuation,10,,,1.5,-0.0006921728862647377,0.002000256474166126,2,True
rsi,2,8,2,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-0.00022954232893938423,0.0003218571071820393,1,True
bollinger,2,8,2,bollinger-p20-k1.5-continuation,continuation,20,,,1.5,0.0002978047207488436,0.00034939643806633497,2,True
rsi,2,8,3,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,8.692832341553973e-05,9.868142009487299e-05,1,True
bollinger,2,8,3,bollinger-p20-k2.5-continuation,continuation,20,,,2.5,-0.00013155026997228406,0.000253006408519576,1,True
rsi,2,8,4,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,0.00016142122994237487,0.0005555671009001644,2,True
bollinger,2,8,4,bollinger-p40-k1.5-continuation,continuation,40,,,1.5,-0.00010640072868450812,0.0004917084574776311,1,True
rsi,2,8,5,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-2.439070658699638e-05,0.00013440175901320402,1,True
bollinger,2,8,5,bollinger-p10-k1.5-continuation,continuation,10,,,1.5,2.621676287676659e-05,0.0001727061410507319,1,True
rsi,3,12,1,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-0.0010931472176928618,0.000888229743859267,1,True
bollinger,3,12,1,bollinger-p10-k2-continuation,continuation,10,,,2.0,-0.001199014156986089,0.001264915458573662,1,True
rsi,3,12,2,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-0.001869164510740003,0.0012134407287489673,1,True
bollinger,3,12,2,bollinger-p20-k1.5-continuation,continuation,20,,,1.5,-0.0012418539339260255,0.0003645725581011657,0,True
rsi,3,12,3,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,-9.244309536545388e-05,0.00017125583052041626,1,True
bollinger,3,12,3,bollinger-p10-k2.5-continuation,continuation,10,,,2.5,-0.0004796377705759876,0.0006798645692804016,2,True
rsi,3,12,4,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,0.0004425725882917231,0.0006073495204021902,1,True
bollinger,3,12,4,bollinger-p40-k1.5-continuation,continuation,40,,,1.5,0.00017439476589653502,0.0003819189506060348,2,True
rsi,3,12,5,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,0.00012471678941572417,0.00045526162668874814,1,True
bollinger,3,12,5,bollinger-p40-k2.5-continuation,continuation,40,,,2.5,8.211400019090634e-06,9.149116242342171e-05,1,True
rsi,6,24,1,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-0.008535577577809947,0.004405145762510348,1,False
bollinger,6,24,1,bollinger-p20-k1.5-continuation,continuation,20,,,1.5,-0.008178836184850343,0.005049159671261258,1,False
rsi,6,24,2,rsi-p7-l20-u80-continuation,continuation,7,20.0,80.0,,-0.002349687616653773,0.00289766225928741,1,True
bollinger,6,24,2,bollinger-p20-k1.5-continuation,continuation,20,,,1.5,-0.0013929219621384343,0.002292731706224644,1,True
rsi,6,24,3,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,0.0007842696508224556,0.0014587296287051894,2,True
bollinger,6,24,3,bollinger-p20-k1.5-continuation,continuation,20,,,1.5,-7.25124328179172e-05,0.0013876697922327172,1,True
rsi,6,24,4,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,0.002295841289627861,0.001563188673250468,2,True
bollinger,6,24,4,bollinger-p40-k1.5-continuation,continuation,40,,,1.5,0.0007914679967422714,0.0011055509531482928,1,True
rsi,6,24,5,rsi-p28-l20-u80-continuation,continuation,28,20.0,80.0,,0.0005897675215041179,0.0008245510343438477,2,True
bollinger,6,24,5,bollinger-p40-k1.5-continuation,continuation,40,,,1.5,0.0007963536266625271,0.0007184187810674909,2,True
