excluded_group,retained_rows,mean_incremental_log_loss,predictive_mean_positive,mean_incremental_net_return_10bps,economic_mean_positive
2025-07,2132,0.0017509470996033669,True,0.0001065068605219752,True
2025-08,2132,0.0021921603379472655,True,0.00011591878095929835,True
2025-09,2138,0.0010770608268597527,True,0.0001156660316380669,True
2025-10,2132,0.0014726241272260323,True,9.827043645136815e-05,True
2025-11,2138,0.0026386530244576537,True,0.00013445111109840538,True
2025-12,2132,0.002623841602702364,True,0.00017808927183739275,True
2026-01,2132,0.0017872859895074157,True,0.00015389624488875326,True
2026-02,2150,0.0021494466563436584,True,0.00011806630853858726,True
2026-03,2132,0.002310064891571977,True,0.00010694957263570996,True
2026-04,2138,0.0021684820144001683,True,0.00013523096419658482,True
2026-05,2132,0.0023490269306679686,True,0.00014712318824399334,True
2026-06,2138,0.0027205933895909236,True,0.00016207706097354536,True
2026-07,2190,0.002173309387257058,True,0.0001205897492236528,True
