signal,regime,observations,mean_incremental_log_loss,mean_incremental_net_edge,mean_signal_net_return,mean_baseline_net_return,mean_filtered_probability
bollinger,range,9110,-0.0006527130011105078,6.248435852156127e-05,-0.0002107657609965056,-0.0002732501195180669,0.9752860579949071
bollinger,stress,373,-0.011242179631413295,-0.0006122709763994726,-0.0005373335706853747,7.493740571409777e-05,0.8364921798976138
bollinger,trend,632,-0.0016244613068700949,0.00016121236246498122,-0.0003668163921879737,-0.0005280287546529549,0.8398818347309177
combined,range,9110,-0.0019598715591151827,-0.0001609282400998925,-0.0004341783596179594,-0.0002732501195180669,0.9752860579949071
combined,stress,373,-0.015947537038347098,-0.0006706556680828352,-0.0005957182623687374,7.493740571409777e-05,0.8364921798976138
combined,trend,632,-0.004223518530906396,0.0007579016967560235,0.0002298729421030686,-0.0005280287546529549,0.8398818347309177
rsi,range,9110,-0.0008919185607179698,7.577828847346174e-05,-0.00019747183104460513,-0.0002732501195180669,0.9752860579949071
rsi,stress,373,-0.00991436061093302,-0.0008101318817020101,-0.000735194475987912,7.493740571409777e-05,0.8364921798976138
rsi,trend,632,0.0003084744493157315,0.000471183244582916,-5.6845510070038895e-05,-0.0005280287546529549,0.8398818347309177
